,UF,Cluster,Sigla
0,Acre,0,AC
1,Alagoas,0,AL
2,Amapá,0,AP
3,Amazonas,0,AM
4,Bahia,0,BA
5,Ceará,0,CE
6,Distrito Federal,0,DF
7,Espírito Santo,0,ES
8,Goiás,0,GO
9,Maranhão,0,MA
10,Mato Grosso,0,MT
11,Mato Grosso do Sul,0,MS
12,Minas Gerais,0,MG
13,Paraná,0,PR
14,Paraíba,0,PB
15,Pará,0,PA
16,Pernambuco,0,PE
17,Piauí,0,PI
18,Rio Grande do Norte,0,RN
19,Rio Grande do Sul,0,RS
20,Rio de Janeiro,1,RJ
21,Rondônia,0,RO
22,Roraima,0,RR
23,Santa Catarina,0,SC
24,Sergipe,0,SE
25,São Paulo,1,SP
26,Tocantins,0,TO
